Datum,max,avg,min,humidity
01.05.20,15,10.5,6,78.0
02.05.20,12,9.0,6,81.4
03.05.20,16,9.3,3,71.4
04.05.20,16,11.6,5,78.9
05.05.20,14,10.5,8,71.4
06.05.20,14,8.4,1,58.4
07.05.20,19,10.6,0,63.0
08.05.20,24,14.7,4,63.9
09.05.20,26,17.8,10,66.7
10.05.20,21,16.2,12,82.2
11.05.20,18,11.9,3,89.2
12.05.20,11,6.0,3,72.4
13.05.20,9,7.0,5,88.8
14.05.20,11,9.1,7,86.2
15.05.20,10,8.7,7,85.0
16.05.20,17,9.1,0,73.3
17.05.20,21,12.6,3,66.8
18.05.20,23,14.3,4,64.0
19.05.20,24,16.6,6,61.3
20.05.20,20,16.5,10,64.8
21.05.20,22,16.0,9,68.3
22.05.20,25,17.7,7,62.3
23.05.20,22,15.4,9,78.2
24.05.20,17,12.7,7,64.9
25.05.20,17,13.4,10,73.1
26.05.20,17,11.9,6,69.6
27.05.20,20,12.3,2,66.5
28.05.20,17,12.6,10,71.3
29.05.20,16,11.1,6,76.2
30.05.20,16,10.6,4,72.5
31.05.20,17,12.3,5,66.2
01.06.20,22,15.5,6,65.5
02.06.20,24,15.9,6,61.6
03.06.20,26,17.8,7,56.5
04.06.20,19,15.5,11,75.7
05.06.20,17,13.5,11,75.8
06.06.20,20,15.5,13,75.3
07.06.20,14,11.3,7,94.3
08.06.20,17,12.0,7,80.2
09.06.20,15,12.7,11,93.6
10.06.20,15,13.5,13,92.4
11.06.20,20,15.1,12,84.4
12.06.20,25,17.9,8,71.8
13.06.20,26,19.5,11,71.5
14.06.20,21,14.6,13,93.9
15.06.20,15,13.8,13,96.3
16.06.20,21,15.8,13,89.0
17.06.20,23,16.9,13,87.0
18.06.20,22,16.7,12,75.5
19.06.20,15,14.0,13,88.6
20.06.20,19,14.8,12,86.2
21.06.20,22,17.2,13,75.3
22.06.20,23,18.5,12,75.2
23.06.20,25,19.3,12,69.0
24.06.20,24,18.0,10,64.4
25.06.20,23,17.5,12,70.2
26.06.20,26,18.0,9,76.9
27.06.20,28,21.8,15,70.1
28.06.20,27,21.0,14,74.0
29.06.20,22,17.1,15,85.2
30.06.20,25,18.2,13,72.5
