Datum,max,avg,min,humidity
01.05.20,14,10.3,8,84.6
02.05.20,13,9.0,5,83.5
03.05.20,17,10.8,3,72.1
04.05.20,17,12.2,7,78.4
05.05.20,16,10.6,5,57.1
06.05.20,17,11.2,4,49.5
07.05.20,23,12.9,2,57.7
08.05.20,25,17.2,8,51.6
09.05.20,17,15.8,14,61.9
10.05.20,25,16.8,12,79.5
11.05.20,15,7.7,4,82.9
12.05.20,14,8.0,2,61.7
13.05.20,15,10.2,2,59.4
14.05.20,16,11.1,6,57.4
15.05.20,18,12.8,8,47.6
16.05.20,20,13.2,4,49.8
17.05.20,20,14.0,6,53.0
18.05.20,25,15.8,5,57.0
19.05.20,26,18.6,9,54.4
20.05.20,24,19.2,12,59.8
21.05.20,26,19.5,13,58.1
22.05.20,25,19.8,12,68.5
23.05.20,19,14.3,11,76.0
24.05.20,19,13.4,8,68.2
25.05.20,21,16.4,13,62.5
26.05.20,21,15.3,7,58.3
27.05.20,24,16.8,9,55.0
28.05.20,22,17.7,13,45.0
29.05.20,23,17.4,9,42.1
30.05.20,22,17.5,12,38.6
31.05.20,22,17.2,12,44.6
01.06.20,27,19.9,11,46.0
02.06.20,28,21.7,15,42.2
03.06.20,28,19.9,12,54.8
04.06.20,17,15.2,12,85.2
05.06.20,16,12.1,9,78.0
06.06.20,18,12.7,7,75.8
07.06.20,20,14.6,10,67.3
08.06.20,21,17.2,12,57.1
09.06.20,20,15.7,11,67.5
10.06.20,20,16.2,14,72.5
11.06.20,19,15.9,13,81.4
12.06.20,29,20.9,13,64.1
13.06.20,28,22.6,18,54.1
14.06.20,22,19.0,15,75.5
15.06.20,21,18.4,16,79.8
16.06.20,20,17.6,15,89.0
17.06.20,24,18.1,13,82.2
18.06.20,24,18.0,13,72.8
19.06.20,25,18.3,11,67.4
20.06.20,24,19.0,13,64.7
21.06.20,27,20.0,11,59.6
22.06.20,25,20.0,14,65.5
23.06.20,28,22.0,15,50.4
24.06.20,29,23.3,15,42.9
25.06.20,27,22.6,18,54.4
26.06.20,31,22.7,16,57.9
27.06.20,29,23.2,17,67.0
28.06.20,24,19.8,15,69.9
29.06.20,25,17.7,12,70.3
30.06.20,22,16.9,12,61.3
