;0;1;2
228;2020-04-08;3255;11
229;2020-04-03;3257;13
230;2020-03-30;3351;12
231;2020-03-23;3352;13
232;2020-05-08;3352;15
233;2020-05-20;3352;11
234;2020-03-17;3353;16
235;2020-03-28;3353;14
236;2020-03-30;3353;14
237;2020-04-03;3353;38
238;2020-04-06;3353;17
239;2020-04-14;3353;13
240;2020-04-21;3353;12
241;2020-03-17;3355;18
242;2020-03-31;3355;12
243;2020-05-21;3359;11
244;2020-03-31;3361;15
245;2020-04-03;3361;14
246;2020-03-23;3403;18
247;2020-03-27;3403;12
248;2020-04-04;3403;17
249;2020-03-13;3404;11
250;2020-03-16;3404;28
251;2020-05-04;3404;12
252;2020-05-07;3404;11
253;2020-03-18;3454;11
254;2020-04-06;3454;14
255;2020-05-02;3454;11
256;2020-04-07;3456;13
257;2020-04-16;3456;13
258;2020-03-28;3458;44
259;2020-04-01;3458;20
260;2020-03-16;3459;26
261;2020-04-22;3459;22
262;2020-04-24;3459;17
263;2020-05-04;3459;32
264;2020-05-11;3459;12
265;2020-05-13;3459;19
266;2020-05-18;3459;45
267;2020-05-22;3459;53
268;2020-05-25;3459;19
269;2020-03-23;3460;12
270;2020-03-25;3460;30
271;2020-03-27;3460;31
272;2020-03-30;3460;26
273;2020-04-05;3460;16
274;2020-03-25;3461;14
275;2020-03-17;4000;12
276;2020-03-19;4000;40
277;2020-04-07;4000;36
278;2020-04-22;4000;108
279;2020-04-28;4000;43
280;2020-05-03;4000;17
281;2020-05-06;4000;54
282;2020-05-12;4000;20
283;2020-05-24;4000;13
284;2020-03-19;4011;38
285;2020-03-26;4011;31
286;2020-04-07;4011;35
287;2020-04-22;4011;108
288;2020-04-28;4011;37
289;2020-05-03;4011;16
290;2020-05-06;4011;46
291;2020-05-12;4011;19
292;2020-05-24;4011;12
293;2020-02-27;5000;19
294;2020-03-09;5000;97
295;2020-03-13;5111;17
296;2020-03-16;5111;42
297;2020-03-23;5111;46
298;2020-03-30;5111;54
299;2020-04-06;5111;55
300;2020-05-05;5111;25
301;2020-05-13;5111;31
302;2020-05-24;5111;16
303;2020-03-16;5112;23
304;2020-03-30;5112;30
305;2020-05-12;5112;25
306;2020-05-15;5112;12
307;2020-05-19;5112;32
308;2020-03-15;5113;38
309;2020-03-19;5113;73
310;2020-03-21;5113;44
311;2020-03-23;5113;54
312;2020-03-25;5113;28
313;2020-03-31;5113;11
314;2020-04-02;5113;17
315;2020-04-06;5113;36
316;2020-04-14;5113;16
317;2020-04-16;5113;14
318;2020-04-20;5113;172
319;2020-05-04;5113;17
320;2020-05-25;5113;19
321;2020-03-23;5114;17
322;2020-03-30;5114;21
323;2020-04-16;5114;18
324;2020-03-21;5116;20
325;2020-03-24;5116;14
326;2020-03-26;5116;24
327;2020-03-31;5116;28
328;2020-04-05;5116;29
329;2020-04-22;5116;16
330;2020-05-06;5116;15
331;2020-03-30;5117;14
332;2020-04-22;5117;11
333;2020-03-31;5119;16
334;2020-03-22;5120;11
335;2020-04-09;5120;29
336;2020-03-17;5122;11
337;2020-03-19;5122;12
338;2020-03-22;5124;19
339;2020-03-30;5124;11
340;2020-03-31;5124;43
341;2020-04-06;5124;40
342;2020-04-08;5124;80
343;2020-04-25;5124;13
344;2020-03-16;5154;19
345;2020-03-23;5154;18
346;2020-04-07;5154;16
347;2020-04-11;5154;48
348;2020-04-15;5154;19
349;2020-05-11;5154;18
350;2020-05-26;5154;29
351;2020-03-16;5158;21
352;2020-03-23;5158;39
353;2020-04-12;5158;12
354;2020-04-28;5158;17
355;2020-03-19;5162;36
356;2020-03-24;5162;43
357;2020-03-29;5162;33
358;2020-04-05;5162;27
359;2020-04-22;5162;12
360;2020-04-28;5162;11
361;2020-03-14;5166;14
362;2020-03-23;5166;17
363;2020-03-25;5166;18
364;2020-03-31;5166;45
365;2020-04-03;5166;44
366;2020-04-07;5166;15
367;2020-04-21;5166;24
368;2020-04-29;5166;13
369;2020-03-16;5170;23
370;2020-03-23;5170;16
371;2020-03-30;5170;12
372;2020-04-06;5170;17
373;2020-04-11;5170;17
374;2020-04-19;5170;12
375;2020-03-17;5314;34
376;2020-03-31;5314;25
377;2020-04-07;5314;21
378;2020-04-09;5314;25
379;2020-04-24;5314;23
380;2020-05-23;5314;12
381;2020-03-12;5315;40
382;2020-05-05;5315;19
383;2020-05-12;5315;12
384;2020-04-15;5316;11
385;2020-03-04;5334;16
386;2020-03-13;5334;22
387;2020-03-17;5334;58
388;2020-03-19;5334;49
389;2020-04-07;5334;81
390;2020-04-12;5334;25
391;2020-04-15;5334;54
392;2020-03-31;5358;16
393;2020-04-02;5358;44
394;2020-04-07;5358;19
395;2020-04-15;5358;12
396;2020-03-16;5362;15
397;2020-03-20;5362;40
398;2020-03-23;5362;22
399;2020-03-29;5362;45
400;2020-04-05;5362;32
401;2020-04-13;5362;23
402;2020-04-15;5362;20
403;2020-04-19;5362;18
404;2020-04-30;5362;16
405;2020-03-26;5366;26
406;2020-04-01;5366;20
407;2020-04-03;5366;41
408;2020-04-08;5366;15
409;2020-04-22;5366;11
410;2020-05-06;5366;19
411;2020-05-25;5366;18
412;2020-02-27;5370;18
413;2020-03-09;5370;44
414;2020-03-16;5370;66
415;2020-04-06;5370;22
416;2020-04-11;5370;24
417;2020-05-15;5370;24
418;2020-03-16;5374;20
419;2020-03-18;5374;17
420;2020-03-22;5374;24
421;2020-03-24;5374;14
422;2020-03-31;5374;29
423;2020-04-06;5374;11
424;2020-03-13;5378;11
425;2020-03-16;5382;12
426;2020-03-23;5382;93
427;2020-04-14;5382;42
428;2020-04-21;5382;13
429;2020-05-15;5382;33
430;2020-05-18;5382;89
431;2020-05-21;5382;18
432;2020-04-23;5512;13
433;2020-05-03;5512;11
434;2020-03-19;5513;16
435;2020-05-15;5513;16
436;2020-03-15;5515;18
437;2020-05-14;5515;18
438;2020-03-13;5554;16
439;2020-03-30;5554;26
440;2020-05-09;5554;14
441;2020-05-11;5554;28
442;2020-05-20;5554;16
443;2020-05-25;5554;11
444;2020-03-23;5558;36
445;2020-03-29;5558;53
446;2020-04-06;5558;21
447;2020-04-30;5558;11
448;2020-05-07;5558;75
449;2020-05-19;5558;13
450;2020-05-21;5558;13
451;2020-03-16;5562;28
452;2020-03-23;5562;33
453;2020-03-26;5562;29
454;2020-04-14;5562;16
455;2020-04-15;5562;63
456;2020-04-30;5562;35
457;2020-05-06;5562;13
458;2020-03-16;5566;19
459;2020-03-17;5566;59
460;2020-03-23;5566;43
461;2020-05-06;5566;13
462;2020-03-13;5570;15
463;2020-03-17;5570;27
464;2020-03-23;5570;24
465;2020-03-25;5570;26
466;2020-03-27;5570;20
467;2020-04-08;5570;13
468;2020-04-12;5570;22
469;2020-03-12;5711;11
470;2020-03-23;5711;32
471;2020-03-25;5711;54
472;2020-03-30;5711;14
473;2020-04-02;5711;24
474;2020-04-08;5711;31
475;2020-04-16;5711;54
476;2020-03-13;5754;17
477;2020-03-15;5754;11
478;2020-03-16;5754;34
479;2020-04-05;5754;23
480;2020-04-20;5754;23
481;2020-05-20;5754;15
482;2020-03-13;5758;12
483;2020-03-17;5758;11
484;2020-04-01;5758;24
485;2020-04-02;5762;28
486;2020-04-08;5762;14
487;2020-04-30;5762;14
488;2020-03-15;5766;19
489;2020-03-17;5766;16
490;2020-03-30;5766;19
491;2020-04-14;5766;35
492;2020-04-20;5766;35
493;2020-04-27;5766;13
494;2020-03-13;5770;18
495;2020-03-15;5770;19
496;2020-03-27;5770;11
497;2020-03-31;5770;36
498;2020-04-11;5770;14
499;2020-05-06;5770;23
500;2020-03-21;5774;15
501;2020-03-30;5774;38
502;2020-04-06;5774;56
503;2020-04-11;5774;27
504;2020-04-13;5774;13
505;2020-04-20;5774;13
506;2020-03-19;5911;18
507;2020-03-29;5911;11
508;2020-04-10;5911;38
509;2020-04-15;5911;30
510;2020-04-22;5911;12
511;2020-05-11;5911;14
512;2020-03-16;5913;17
513;2020-03-23;5913;16
514;2020-04-26;5913;21
515;2020-03-19;5914;17
516;2020-04-01;5914;11
517;2020-04-11;5914;21
518;2020-04-15;5914;11
519;2020-04-22;5914;19
520;2020-05-08;5914;15
521;2020-03-19;5915;24
522;2020-03-31;5915;14
523;2020-04-02;5915;37
524;2020-04-14;5915;19
525;2020-04-16;5916;13
526;2020-04-29;5916;11
527;2020-03-23;5954;16
528;2020-04-15;5954;12
529;2020-04-17;5954;13
530;2020-03-19;5958;32
531;2020-03-31;5958;34
532;2020-04-07;5958;19
533;2020-03-25;5962;19
534;2020-04-05;5962;16
535;2020-04-09;5962;45
536;2020-04-15;5962;24
537;2020-04-21;5962;13
538;2020-04-24;5962;20
539;2020-04-26;5962;12
540;2020-03-25;5966;17
541;2020-03-13;5970;12
542;2020-04-14;5970;12
543;2020-03-17;5974;19
544;2020-03-19;5974;18
545;2020-03-21;5974;35
546;2020-04-06;5974;22
547;2020-04-08;5974;19
548;2020-03-17;5978;13
549;2020-03-21;5978;13
550;2020-03-24;5978;32
551;2020-04-09;5978;20
552;2020-04-15;5978;26
553;2020-04-19;5978;17
554;2020-04-30;5978;15
555;2020-03-09;6000;20
556;2020-03-16;6000;126
557;2020-03-23;6000;277
558;2020-05-05;6000;90
559;2020-04-19;6411;21
560;2020-03-13;6412;11
561;2020-03-16;6412;15
562;2020-03-23;6412;32
563;2020-03-29;6412;41
564;2020-04-14;6412;52
565;2020-05-12;6412;11
566;2020-05-17;6412;56
567;2020-05-22;6412;24
568;2020-03-16;6414;13
569;2020-03-18;6414;13
570;2020-03-23;6414;34
571;2020-03-30;6414;26
572;2020-05-23;6414;19
573;2020-03-16;6431;12
574;2020-03-23;6431;29
575;2020-03-29;6431;20
576;2020-04-04;6431;14
577;2020-03-19;6432;17
578;2020-03-24;6432;11
579;2020-03-30;6432;16
580;2020-04-01;6433;19
581;2020-04-15;6433;14
582;2020-04-21;6433;13
583;2020-05-12;6433;13
584;2020-03-24;6434;16
585;2020-03-17;6435;15
586;2020-03-30;6435;19
587;2020-04-06;6435;13
588;2020-04-20;6435;11
589;2020-04-28;6435;16
590;2020-05-26;6435;17
591;2020-03-23;6436;12
592;2020-03-30;6436;15
593;2020-04-28;6437;20
594;2020-03-31;6438;16
595;2020-04-06;6438;13
596;2020-04-14;6438;11
597;2020-05-06;6438;19
598;2020-03-26;6439;19
599;2020-04-01;6439;22
600;2020-03-23;6532;17
601;2020-03-31;6532;15
602;2020-04-05;6532;22
603;2020-04-09;6532;20
604;2020-03-18;6533;26
605;2020-03-23;6533;33
