1001,88519
1002,247943
1003,216318
1004,79335
1051,133447
1053,196074
1054,165462
1055,200584
1056,312662
1057,128842
1058,273022
1059,199503
1060,274025
1061,131613
1062,242472
2000,1830584
3101,248023
3102,104548
3103,123914
3151,175079
3153,137563
3154,91720
3155,133046
3157,133368
3158,120437
3159,328036
3241,1152675
3251,216012
3252,148296
3254,276640
3255,71144
3256,121470
3257,157883
3351,178764
3352,198100
3353,251511
3354,48357
3355,182930
3356,113105
3357,163377
3358,139755
3359,201887
3360,92744
3361,136590
3401,77521
3402,50607
3403,167081
3404,164374
3405,76316
3451,123377
3452,189949
3453,167925
3454,323636
3455,98509
3456,135859
3457,168946
3458,129924
3459,356140
3460,140540
3461,89022
3462,56731
4011,568006
4012,113026
5111,617280
5112,498110
5113,583393
5114,226699
5116,262188
5117,171265
5119,211422
5120,110584
5122,158803
5124,353590
5154,311270
5158,485409
5162,451007
5166,298733
5170,460666
5314,325490
5315,1080394
5316,163577
5334,554068
5358,262889
5362,470089
5366,192127
5370,253106
5374,272471
5378,283455
5382,599780
5512,117364
5513,260305
5515,313559
5554,369718
5558,219360
5562,616824
5566,446565
5570,277458
5711,332552
5754,363049
5758,251539
5762,141565
5766,349069
5770,311207
5774,305362
5911,365529
5913,586600
5914,187730
5915,179185
5916,156490
5954,324296
5958,260475
5962,412120
5966,134808
5970,277977
5974,301693
5978,393934
6411,158254
6412,746878
6413,126658
6414,278654
6431,268780
6432,296048
6433,271403
6434,236564
6435,418950
6436,237735
6437,96798
6438,351692
6439,187157
6440,306460
6531,267056
6532,253777
6533,171971
6534,246165
6535,105878
6611,200736
6631,221783
6632,121101
6633,236674
6634,180222
6635,157256
6636,101017
7111,113844
7131,128914
7132,128791
7133,157549
7134,80728
7135,61662
7137,213554
7138,181655
7140,102937
7141,122308
7143,201597
7211,110013
7231,112134
7232,98561
7233,60705
7235,148532
7311,48417
7312,99684
7313,46292
7314,168497
7315,215110
7316,53353
7317,40632
7318,50931
7319,83081
7320,34270
7331,128519
7332,132739
7333,75101
7334,128477
7335,105649
7336,70764
7337,110622
7338,154201
7339,209785
7340,95474
8111,632743
8115,389548
8116,532447
8117,256345
8118,542630
8119,426158
8121,125113
8125,340772
8126,112010
8127,194203
8128,132321
8135,132006
8136,314002
8211,54718
8212,311919
8215,442673
8216,230216
8221,160601
8222,307997
8225,143535
8226,547625
8231,124289
8235,157424
8236,198905
8237,117456
8311,229636
8315,262405
8316,164712
8317,429479
8325,138858
8326,212381
8327,139397
8335,284015
8336,228314
8337,170198
8415,285754
8416,225755
8417,188935
8421,125596
8425,196047
8426,198265
8435,216227
8436,283264
8437,130192
9161,135244
9162,1456039
9163,63080
9171,110338
9172,105052
9173,126572
9174,152703
9175,140800
9176,131646
9177,136884
9178,177997
9179,217831
9180,88155
9181,119141
9182,99189
9183,114486
9184,346433
9185,96164
9186,126244
9187,259449
9188,135545
9189,176290
9190,134252
9261,71193
9262,51781
9263,47586
9271,118741
9272,78345
9273,121119
9274,157239
9275,190504
9276,77489
9277,120371
9278,99838
9279,95831
9361,42248
9362,150894
9363,42543
9371,102836
9372,127339
9373,132644
9374,94486
9375,192200
9376,146487
9377,72730
9461,77179
9462,73999
9463,41236
9464,45950
9471,146584
9472,103805
9473,86885
9474,115681
9475,95773
9476,67474
9477,72012
9478,66777
9479,73485
9561,41652
9562,110998
9563,126526
9564,515201
9565,40781
9571,183256
9572,135334
9573,116193
9574,169752
9575,99641
9576,126101
9577,94208
9661,69928
9662,53437
9663,126635
9671,173969
9672,103265
9673,79796
9674,84464
9675,90429
9676,128484
9677,126523
9678,115105
9679,161340
9761,292851
9762,43478
9763,68330
9764,43470
9771,132596
9772,249838
9773,95159
9774,124519
9775,172546
9776,81148
9777,139278
9778,142544
9779,133043
9780,154568
10041,330150
10042,103656
10043,133297
10044,195815
10045,142631
10046,87867
11000,3613495
12051,71886
12052,101036
12053,58237
12054,175710
12060,180864
12061,167319
12062,103455
12063,160710
12064,192921
12065,209893
12066,111122
12067,178347
12068,99368
12069,213214
12070,77263
12071,115456
12072,166890
12073,120349
13003,208409
13004,95797
13071,260574
13072,214635
13073,225123
13074,156993
13075,237066
13076,212522
14511,246855
14521,337696
14522,308153
14523,227796
14524,319988
14612,551072
14625,302634
14626,256587
14627,242862
14628,245418
14713,581980
14729,258008
14730,197794
15001,82111
15002,239173
15003,238478
15081,83765
15082,161264
15083,172619
15084,180190
15085,216299
15086,90465
15087,138013
15088,184582
15089,190560
15090,113186
15091,126815
16051,212988
16052,94859
16053,111099
16054,35166
16055,64426
16056,42710
16061,100645
16062,84697
16063,123025
16064,102912
16065,75009
16066,122952
16067,135521
16068,70027
16069,63923
16070,108742
16071,82131
16072,56361
16073,107368
16074,83051
16075,80868
16076,99275
16077,90650
